iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,1.2,50,2,0,41.22
100,2.4,100,2,0,42.16
150,3.5,150,2,0,42.40
200,4.7,200,2,0,42.16
250,6.0,250,2,0,41.82
300,7.2,300,2,0,41.76
350,8.5,350,2,0,41.42
400,9.7,400,2,0,41.33
450,10.9,450,2,0,41.27
500,12.1,500,2,0,41.34
550,13.3,550,2,0,41.47
600,14.4,600,2,0,41.64
650,15.6,650,2,0,41.60
700,16.9,700,2,0,41.49
750,18.1,750,2,0,41.37
800,19.3,800,2,0,41.37
850,20.6,850,2,0,41.22
900,21.9,900,2,0,41.17
950,23.1,950,2,0,41.07
1000,24.4,1000,2,0,40.99
1050,25.6,1050,2,0,40.95
1100,26.9,1100,2,0,40.92
1150,28.2,1150,2,0,40.84
1200,29.4,1200,2,0,40.80
1250,30.7,1250,2,0,40.72
1300,31.9,1300,2,0,40.72
1350,33.2,1350,2,0,40.69
1400,34.4,1400,2,0,40.66
1450,35.7,1450,2,0,40.65
1500,36.9,1500,2,0,40.66
1550,38.2,1550,2,0,40.61
1600,39.4,1600,2,0,40.59
1650,40.7,1650,2,0,40.55
1700,41.9,1700,2,0,40.56
1750,43.1,1750,2,0,40.58
1800,44.4,1800,2,0,40.54
1850,45.7,1850,2,0,40.51
1900,46.9,1900,2,0,40.51
1950,48.1,1950,2,0,40.56
2000,49.3,2000,2,0,40.54
2050,50.5,2050,2,0,40.56
2100,51.8,2100,2,0,40.55
2150,53.0,2150,2,0,40.55
2200,54.3,2200,2,0,40.53
2250,55.5,2250,2,0,40.54
2300,56.6,2300,2,0,40.62
2350,57.9,2350,2,0,40.62
2400,59.1,2400,2,0,40.62
